Title,Price,N_Rooms,Square_meters,Floors,BathRooms,Neighborhood
"Quadrilocale via Gran Bretagna 15, Colosseo - Fori Imperiali, Roma",515000,4,136.0,2,2,Centro Storico 
"Trilocale via Della Maschera D'oro, Piazza Navona, Roma",670000,3,100.0,3,,Centro Storico 
"Bilocale ottimo stato, terzo piano, Ghetto - Portico d'Ottavia, Roma",780000,2,80.0,3,,Centro Storico 
"Appartamento via dell'Oca, Piazza del Popolo, Roma",1290000,5,135.0,3,,Centro Storico 
"Trilocale via Sistina, Spagna, Roma",738000,3,90.0,2,2,Centro Storico 
"Bilocale via Palermo, Monti, Roma",580000,2,70.0,4,2,Centro Storico 
"Attico via del Babuino, Piazza del Popolo, Roma",895000,2,100.0,3,,Centro Storico 
"Appartamento via dei Pastini, Pantheon, Roma",1780000,5,199.0,4,2,Centro Storico 
"Terratetto plurifamiliare via del Governo Vecchio, Piazza Navona, Roma",900000,5,100.0,,,Centro Storico 
"Trilocale buono stato, primo piano, Piazza Navona, Roma",980000,3,101.0,1,2,Centro Storico 
"Appartamento via di Santa Maria dell'Anima, Piazza Navona, Roma",2290000,5+,253.0,2,3,Centro Storico 
"Bilocale via dei Ciancaleoni, Monti, Roma",500000,2,39.0,2,,Centro Storico 
"Appartamento via Merulana 84, Esquilino, Roma",565000,5,190.0,4,2,Centro Storico 
"Trilocale via dei Pastini, Pantheon, Roma",595000,3,81.0,4,2,Centro Storico 
"Appartamento via della Mercede, Spagna, Roma",4600000,5+,345.0,2,3+,Centro Storico 
"Quadrilocale via Di San Giovanni In Laterano, Colosseo - Fori Imperiali, Roma",699000,4,120.0,1,3,Centro Storico 
"Terratetto unifamiliare vicolo Orbitelli, Via Giulia, Roma",2200000,5,300.0,,2,Centro Storico 
"Appartamento via Emilia, Vittorio Veneto, Roma",1800000,5+,282.0,4,3+,Centro Storico 
"Attico vicolo Orbitelli, Via Giulia, Roma",2200000,5,300.0,3,2,Centro Storico 
"Quadrilocale via Sicilia 42, Vittorio Veneto, Roma",1365000,4,130.0,3,2,Centro Storico 
"Appartamento buono stato, primo piano, Vittorio Veneto, Roma",2300000,5+,374.0,1,3+,Centro Storico 
"Quadrilocale via Giulia, Via Giulia, Roma",598000,4,100.0,0,,Centro Storico 
"Trilocale corso Vittorio Emanuele II, Piazza Navona, Roma",820000,3,120.0,1,,Centro Storico 
"Attico via Dei Greci 6, Piazza del Popolo, Roma",1690000,4,125.0,5,2,Centro Storico 
"Monolocale via Labicana 75, Colle Oppio, Roma",468000,,47.0,2,,Centro Storico 
"Attico via Mecenate 35, Colle Oppio, Roma",990000,2,130.0,4,2,Centro Storico 
"Quadrilocale via Angelo Poliziano 70, Colle Oppio, Roma",740000,4,126.0,3,,Centro Storico 
"Appartamento via Del Banco Di Santo Spirito, Via Giulia, Roma",2999000,5+,220.0,3,2,Centro Storico 
"Trilocale via Giulia, Via Giulia, Roma",650000,3,81.0,4,,Centro Storico 
"Trilocale ottimo stato, Trevi, Roma",790000,3,76.0,,2,Centro Storico 
"Trilocale via Marco Aurelio, Colosseo - Fori Imperiali, Roma",450000,3,82.0,1,2,Centro Storico 
"Appartamento via Veneto, Vittorio Veneto, Roma",2300000,5+,374.0,1,3+,Centro Storico 
"Quadrilocale via di Fontanella Borghese, Montecitorio, Roma",4000000,4,189.0,1,3,Centro Storico 
"Bilocale via Marche, Vittorio Veneto, Roma",375000,2,48.0,2,,Centro Storico 
"Appartamento corso del Rinascimento, Piazza Navona, Roma",1790000,5,230.0,2,2,Centro Storico 
"Attico via di Santa Maria dell'Anima, Piazza Navona, Roma",1290000,3,90.0,4,2,Centro Storico 
"Attico via di Santa Maria dell'Anima, Piazza Navona, Roma",1290000,3,90.0,4,2,Centro Storico 
"Attico via di Santa Maria dell'Anima, Piazza Navona, Roma",1290000,3,90.0,4,2,Centro Storico 
"Trilocale via della Madonna dei Monti, Monti, Roma",470000,3,71.0,1,2,Centro Storico 
"Trilocale via Del Banco Di Santo Spirito, Via Giulia, Roma",720000,3,115.0,3,,Centro Storico 
"Bilocale via Marche, Vittorio Veneto, Roma",375000,2,45.0,2,,Centro Storico 
"Appartamento all'asta via di San Giacomo 22/25A, Roma",1144000,3,179.0,0,,Centro Storico 
"Quadrilocale via Del Pellegrino 16, Campo de' Fiori, Roma",650000,4,132.0,1,,Centro Storico 
"Appartamento all'asta via di San Giacomo 22, Roma",1430000,4,166.0,-1,,Centro Storico 
"Appartamento all'asta via Ludovisi 16, Roma",1024000,5+,278.0,0,,Centro Storico 
"Appartamento piazza delle Cinque Scole, Ghetto - Portico d'Ottavia, Roma",1100000,5,130.0,2,3,Centro Storico 
